timestamp,message,logStreamName
1781062164315,#35 /var/www/html/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/InvokeDeferredCallbacks.php(22): Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}(Object(Illuminate\\Http\\Request)),ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,"#36 /var/www/html/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php(208): Illuminate\\Foundation\\Http\\Middleware\\InvokeDeferredCallbacks->handle(Object(Illuminate\\Http\\Request), Object(Closure))",ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,#37 /var/www/html/vendor/laravel/framework/src/Illuminate/Http/Middleware/ValidatePathEncoding.php(26): Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}(Object(Illuminate\\Http\\Request)),ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,"#38 /var/www/html/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php(208): Illuminate\\Http\\Middleware\\ValidatePathEncoding->handle(Object(Illuminate\\Http\\Request), Object(Closure))",ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,#39 /var/www/html/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php(126): Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}(Object(Illuminate\\Http\\Request)),ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,#40 /var/www/html/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php(175): Illuminate\\Pipeline\\Pipeline->then(Object(Closure)),ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,#41 /var/www/html/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php(144): Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter(Object(Illuminate\\Http\\Request)),ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,#42 /var/www/html/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(1219): Illuminate\\Foundation\\Http\\Kernel->handle(Object(Illuminate\\Http\\Request)),ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,#43 /var/www/html/public/index.php(20): Illuminate\\Foundation\\Application->handleRequest(Object(Illuminate\\Http\\Request)),ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
1781062164315,#44 {main},ecs/watertrack-api/67cce732880b4e2a9394f9e0e008c032
